Nav_Date,Nifty_100,Nifty_Midcap_150,Nifty_Smallcap_250,Nifty_500,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
2020-05-29,9759.450,5053.700,3538.750,7822.400,184.320,27.090,172.476,377.777,182.257,35.920,202.936,106.197,208.270,35.430,50.265,43.035,110.700,32.634,85.518,22.097,26.010,42.770,27.950,16.514,18.530,56.804,331.850,10.460,187.489,88.862,8.386,262.020,106.206,48.513,602.830,10.790,35.239,499.566,69.138,29.994,127.446
2020-06-01,9996.400,5199.900,3651.950,8020.100,188.020,27.620,176.170,386.323,186.435,36.650,207.148,108.366,213.670,36.280,51.625,44.579,112.720,33.403,87.903,22.799,26.640,44.221,28.900,17.031,19.020,58.280,341.020,10.660,191.986,90.857,8.582,269.610,108.275,49.540,615.380,11.000,36.104,511.142,70.924,30.554,130.611
2020-06-02,10139.750,5269.550,3733.150,8137.450,190.600,28.020,178.320,390.245,188.743,37.100,209.673,109.675,217.150,36.730,52.036,45.008,113.730,33.763,88.842,23.235,27.120,45.024,29.513,17.317,19.560,59.877,345.740,10.800,194.544,91.849,8.682,273.170,109.261,50.325,622.560,11.170,36.732,515.764,71.883,30.903,132.824
2020-06-03,10220.250,5305.550,3781.450,8203.000,191.990,28.200,179.969,393.187,190.458,37.320,211.289,110.558,219.210,36.930,52.080,45.219,114.090,33.888,89.302,23.569,27.310,45.473,30.043,17.569,19.770,60.404,347.020,10.840,195.817,92.514,8.725,274.180,109.829,50.503,626.310,11.240,37.066,519.804,72.426,31.222,133.668
2020-06-04,10198.000,5293.150,3781.400,8185.900,191.230,28.150,179.607,393.343,189.754,37.380,211.117,110.399,218.800,36.810,51.758,44.768,113.480,33.926,89.018,23.474,26.980,45.518,30.171,17.512,19.720,60.373,346.010,10.810,194.658,92.715,8.702,274.170,109.944,50.449,626.900,11.210,36.795,520.696,72.443,31.245,132.797
2020-06-05,10324.150,5385.650,3887.700,8299.350,193.730,28.380,182.530,402.409,191.350,37.990,213.912,111.686,222.970,37.210,52.430,45.650,115.020,34.585,90.151,23.985,27.310,46.388,31.014,17.841,20.190,61.636,350.530,10.930,198.202,94.941,8.798,279.960,111.389,51.440,636.690,11.310,37.342,534.640,73.254,31.594,134.149
2020-06-08,10346.700,5409.850,3931.300,8323.950,194.290,28.400,182.304,404.524,191.876,38.020,214.508,111.818,223.950,37.030,52.126,45.771,115.190,34.634,90.156,24.190,27.730,46.767,31.299,17.885,20.410,62.132,351.320,10.980,199.410,95.593,8.812,279.780,111.470,51.834,637.650,11.310,37.359,537.267,73.579,31.611,134.458
2020-06-09,10231.250,5384.150,3888.850,8238.100,191.880,28.050,179.901,399.007,189.598,37.470,212.074,110.606,222.680,36.770,51.923,45.422,114.800,34.458,89.719,23.941,27.340,46.567,30.850,17.696,20.210,61.761,347.080,10.910,196.784,94.543,8.717,276.530,110.430,51.345,632.510,11.180,36.991,529.993,72.540,31.269,133.357
2020-06-10,10291.700,5443.850,3920.900,8293.350,193.240,28.170,180.390,400.943,190.971,37.550,213.083,111.025,224.980,37.010,52.470,45.989,115.390,34.617,90.558,23.952,27.520,46.876,30.993,17.776,20.290,61.907,349.660,10.970,198.614,95.176,8.781,278.090,111.161,51.623,634.720,11.220,37.214,533.242,72.963,31.408,134.295
2020-06-11,10082.100,5375.750,3876.850,8137.000,189.320,27.720,176.919,391.690,186.794,36.790,209.261,108.817,221.450,36.670,51.820,45.318,114.150,34.214,89.482,23.760,27.310,46.386,30.608,17.618,20.110,61.205,343.420,10.880,195.361,93.266,8.631,272.980,109.646,50.743,622.430,11.040,36.572,521.065,71.538,30.895,132.128
2020-06-12,10158.300,5426.050,3871.300,8196.400,190.640,27.880,178.729,393.763,188.377,37.020,210.892,109.627,223.060,36.840,52.123,45.363,114.840,34.469,90.290,23.749,27.200,46.428,30.371,17.647,20.080,61.325,347.530,10.860,196.669,94.005,8.689,273.540,110.333,50.994,627.240,11.100,36.917,522.918,72.328,31.205,133.155
2020-06-15,10005.800,5369.450,3884.650,8086.450,187.750,27.520,176.262,387.315,185.657,36.450,207.792,108.292,221.130,36.550,51.516,44.906,113.830,34.068,89.118,23.679,27.030,46.548,30.289,17.580,20.030,61.222,342.880,10.770,194.269,92.420,8.564,268.920,109.020,50.306,619.150,10.950,36.266,513.485,71.392,30.777,131.090
2020-06-16,10097.350,5399.550,3881.700,8152.300,189.330,27.780,178.194,389.386,187.756,36.770,209.594,109.285,221.090,36.700,51.852,45.173,114.030,34.209,89.449,23.516,27.110,46.596,30.472,17.523,20.040,61.520,345.080,10.860,195.537,92.640,8.645,270.350,109.989,50.309,624.240,11.060,36.632,514.989,71.906,31.051,132.624
2020-06-17,10069.750,5418.050,3904.800,8140.450,189.530,27.710,178.302,388.097,187.608,36.830,209.681,109.196,223.390,36.720,52.054,45.563,114.510,34.360,90.148,23.793,27.390,46.828,30.691,17.602,20.320,61.779,344.800,10.920,196.420,92.521,8.651,270.260,110.181,50.445,624.870,11.020,36.689,512.910,72.079,31.004,132.574
2020-06-18,10258.150,5483.800,3959.900,8283.650,192.850,28.070,180.852,397.288,190.921,37.410,212.995,110.814,226.220,37.000,52.651,46.095,115.620,34.622,91.133,24.236,27.800,47.564,31.081,17.850,20.600,62.442,349.200,11.010,199.774,94.317,8.770,274.800,111.246,51.296,632.690,11.160,37.361,524.935,73.229,31.395,134.141
2020-06-19,10407.750,5553.350,4026.800,8403.400,195.570,28.420,183.083,403.253,193.724,37.860,215.963,112.174,228.920,37.320,53.115,46.766,117.030,34.965,91.552,24.549,27.990,48.209,31.448,18.210,20.920,63.416,356.230,11.090,202.598,95.889,8.890,277.600,112.590,51.725,640.380,11.290,37.830,532.060,74.668,31.847,134.734
2020-06-22,10494.350,5639.550,4105.400,8486.450,197.750,28.640,184.388,409.133,194.927,38.150,217.231,113.199,231.410,37.550,53.546,47.581,118.440,35.425,92.408,24.876,28.300,48.880,31.989,18.533,21.240,64.227,360.230,11.150,204.377,96.985,8.954,280.770,113.133,52.308,647.890,11.380,38.201,541.628,75.351,32.034,136.035
2020-06-23,10660.800,5730.250,4169.050,8621.100,201.390,29.070,187.821,416.078,197.937,38.750,220.480,114.758,234.580,38.010,54.107,48.218,120.020,35.972,93.830,25.316,28.370,49.675,32.482,18.877,21.740,65.316,366.290,11.330,207.764,98.952,9.076,284.990,114.593,53.053,656.500,11.560,38.786,552.467,76.575,32.548,138.660
2020-06-24,10499.900,5667.950,4110.300,8496.250,196.970,28.660,184.135,407.525,194.281,38.070,217.543,113.008,232.890,37.640,53.524,47.769,119.260,35.569,92.762,24.958,27.930,49.006,32.156,18.642,21.380,64.577,359.410,11.250,204.033,97.230,8.929,278.350,113.738,52.237,643.140,11.410,38.088,540.794,75.112,32.179,137.116
2020-06-25,10486.550,5721.950,4125.550,8499.900,197.020,28.650,183.688,407.026,194.184,37.980,217.614,112.798,234.440,37.900,53.824,48.207,120.040,35.778,93.702,25.033,27.990,49.156,32.107,18.715,21.510,64.772,361.550,11.230,204.976,97.524,8.953,278.890,114.011,52.463,644.600,11.410,38.165,541.737,75.381,32.212,137.102
2020-06-26,10570.950,5726.450,4148.500,8559.000,198.410,28.770,185.281,410.636,195.892,38.370,219.961,113.718,235.130,37.960,54.092,48.398,120.390,35.816,93.771,25.074,28.240,49.410,32.370,18.814,21.510,64.826,362.000,11.240,206.502,98.513,8.999,281.130,114.769,52.833,645.890,11.450,38.297,544.869,75.782,32.485,137.726
2020-06-29,10496.850,5642.600,4097.850,8488.050,196.810,28.690,184.249,404.983,194.710,38.060,218.458,112.815,232.460,37.630,53.493,47.820,119.030,35.416,92.730,24.763,27.870,49.026,32.100,18.610,21.120,64.077,359.770,11.100,204.232,97.010,8.925,277.780,114.075,52.096,640.360,11.420,37.993,535.775,75.341,32.213,136.826
2020-06-30,10486.900,5626.200,4067.250,8474.800,197.120,28.690,185.016,403.367,195.146,38.070,218.806,112.778,232.230,37.530,53.542,47.684,119.050,35.422,92.587,24.571,27.840,48.812,31.952,18.518,21.060,63.927,360.680,11.120,204.809,96.935,8.932,277.760,114.536,52.171,641.340,11.420,38.158,534.169,75.362,32.308,136.574
2020-07-01,10598.900,5640.350,4095.450,8554.750,198.860,28.820,185.793,408.910,197.181,38.390,220.499,113.690,232.780,37.550,53.666,47.687,118.930,35.485,92.716,24.623,27.910,49.136,32.185,18.575,21.130,64.311,363.030,11.220,206.419,97.694,8.977,279.460,114.835,52.629,645.420,11.450,38.400,540.564,75.888,32.469,137.193
2020-07-02,10716.100,5701.250,4130.800,8647.850,200.680,29.010,187.696,412.493,199.099,38.800,223.181,114.868,236.290,37.820,54.004,48.037,119.880,35.876,93.507,24.837,28.150,49.544,32.354,18.684,21.340,64.908,365.860,11.300,207.734,98.439,9.062,282.280,115.738,53.187,650.400,11.530,38.607,544.791,76.525,32.798,138.720
2020-07-03,10776.300,5739.350,4142.150,8696.250,201.670,29.110,188.597,415.275,200.347,39.030,224.701,115.659,236.630,37.930,54.253,48.295,120.430,36.104,94.206,24.946,28.280,49.729,32.440,18.710,21.410,65.273,367.460,11.310,208.845,99.091,9.118,283.960,116.517,53.671,653.680,11.570,38.852,547.625,76.910,33.039,139.157
2020-07-06,10919.250,5829.950,4207.450,8815.700,203.880,29.470,191.197,419.985,202.431,39.520,227.808,116.902,239.280,38.350,54.755,48.890,121.560,36.653,95.596,25.256,28.720,50.304,32.785,18.970,21.740,65.789,374.440,11.430,211.189,100.548,9.238,287.320,118.380,54.278,661.270,11.710,39.221,555.033,77.936,33.522,141.087
2020-07-07,10958.000,5859.550,4236.500,8850.300,204.930,29.790,192.370,418.479,203.966,39.620,228.585,117.570,240.610,38.570,55.107,49.006,122.030,36.835,96.033,25.468,28.880,50.640,33.074,18.961,21.920,66.094,377.390,11.640,212.011,100.435,9.272,288.590,118.251,54.571,665.500,11.820,39.467,553.206,78.501,33.504,143.051
